,Полное наименование учреждения,Полное наименование учреждения 2,Муниципальное образование, Тип населённого пункта,Наименование населенного пункта, Адрес учреждения,Широта,Долгота,Тип подключения (сущ.),"Скорость подключения (сущ.), Мбит/с",Провайдер (сущ.),Тип подключения (план),"Скорость подключения (план), Мбит/с",Дата планируемого подключения,Unnamed: 14
0,МКОО АСОШ,,,,,,,,,,,,,,
1,МКОО ШИЛЯГИНСКАЯ СОШ,,,,,,,,,,,,,,
2,МКОУ 1-ЦОВКРИНСКАЯ ООШ,,,,,,,,,,,,,,
3,МКОУ 2-ЦОВКРИНСКАЯ СОШ,"МОУ""2-Цовкринская СОШ""",Кулинский район,Село,2-я Цовкра,"Республика Дагестан, Кулинский район, с. 2-я Цовкра","42,039997","47,152269",Спутник,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
4,МКОУ АГАДИНСКАЯ СОШ,МОУ Агадинская СОШ,Гунибский район,Село,Куяда,"Республика Дагестан, Гунибский район, с. Куяда","42,418941","46,814247",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
5,МКОУ Агвалинская СОШ,,,,,,,,,,,,,,
6,МКОУ АДЖИМАЖАГАТЮРТОВСКАЯ СОШ,МОУ Аджимажагатюртовская СОШ,Хасавюртовский район,Село,Аджимажагатюрт,"Республика Дагестан, Хасавюртовский район, с. Аджимажагатюрт","43,349412","46,506883",Медь,12.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
7,МКОУ АДИЛЬЯНГИЮРТОВСКАЯ СОШ,,,,,,,,,,,,,,
8,МКОУ АЗАДОГЛЫНСКАЯ СОШ,"МОУ ""Азадоглынская СОШ""",Магарамкентский район,Село,Азадоглы,"Республика Дагестан, Магарамкентский район, с. Азадоглы","41,829188","48,446082",Спутник,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
9,МКОУ Аймакинская СОШ Герг-й район,,,,,,,,,,,,,,
10,МКОУ АЙМАУМАХИНСКАЯ СОШ,"МОУ ""Аймаумахинская СОШ""",Сергокалинский район,Село,Аймаумахи,"Республика Дагестан, Сергокалинский район, с. Аймаумахи","42,364451","47,573457",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
11,МКОУ АКБУЛАТЮРТОВСКАЯ СОШ,МОУ Акбулатюртовская СОШ,Хасавюртовский район,Село,Акбулатюрт,"Республика Дагестан, Хасавюртовский район, с. Акбулатюрт","43,460143","46,387821",Медь,12.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
12,МКОУ АКНАДИНСКАЯ СОШ,МОУ Акнадинская СОШ,Кизилюртовский район,Село,Акнада,"Республика Дагестан, Кизилюртовский район, с. Акнада","43,378836","46,909413",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
13,МКОУ Акушинская СОШ_1 им. Кирова,,,,,,,,,,,,,,
14,МКОУ АЛАДАШСКАЯ СОШ,"МОУ ""Аладашская СОШ""",Курахский район,Село,Аладаш,"Республика Дагестан, Курахский район, с. Аладаш","41,907473","48,349916",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
15,МКОУ Александрийская СОШ,"МОУ ""Александрийская СОШ""",Кизлярский район,Село,Александрия,"Республика Дагестан, Кизлярский район, с. Александрия","43,906484","47,130206",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
16,МКОУ Амушинская СОШ,"МОУ ""Амушинская СОШ""",Хунзахский район,Село,Амуши,"Республика Дагестан, Хунзахский район, с. Амуши","42,638357","46,486152",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
17,МКОУ АНДИЙСКАЯ СОШ №1,МОУ Андийская СОШ №1,Ботлихский район,Село,Анди,"Республика Дагестан, Ботлихский район с. Анди","42,786822","46,257312",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
18,МКОУ АНДИЙСКАЯ СОШ №2,МОУ Андийская СОШ №2,Ботлихский район,Село,Анди,"Республика Дагестан, Ботлихский район с. Анди","42,784722","46,262500",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
19,МКОУ Андыхская СОШ,"МОУ ""Андыхская СОШ""",Шамильский район,Село,Андых,"Республика Дагестан, Шамильский район, с. Андых","42,514761","46,593424",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
20,МКОУ А-НЕВСКАЯ СОШ,МОУ А-Невская СОШ,Тарумовский район,Село,Александро-Невская,"Республика Дагестан, Тарумовский район, с. Александро-Невская","43,921026","46,556505",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
21,МКОУ АНСАЛТИНСКАЯ СОШ,МОУ Ансалтинская СОШ,Ботлихский район,Село,Ансалта,"Республика Дагестан, Ботлихский район с. Ансалта","42,690536","46,115731",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
22,МКОУ АООШ,,,,,,,,,,,,,,
23,МКОУ АООШ Казбек. р-он,,,,,,,,,,,,,,
24,МКОУ АРАБЛЯРСКАЯ СОШ,"МОУ ""Араблярская СОШ""",Курахский район,Село,Арабляр,"Республика Дагестан, Курахский район, с. Арабляр","41,931076","48,374278",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
25,МКОУ АРАДА- ЧУГЛИНСКАЯ СОШ,"МОУ ""Арада-Чуглинская СОШ""",Левашинский район,Село,Арада-Чугли,"Республика Дагестан, Левашинский район с. Арада-Чугли","42,492222","47,228056",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
26,МКОУ АРАДИРИХСКАЯ СОШ,,,,,,,,,,,,,,
27,МКОУ АРАКАНСКАЯ СОШ,МОУ Араканская СОШ,Унцукульский район,Село,Аракани,"Республика Дагестан, Унцукульский район, с. Аракани","42,610200","46,991916",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
28,МКОУ АРАКСКАЯ СОШ,МОУ Аракская СОШ,Табасаранский район,Село,Арак,"Республика Дагестан, Табасаранский район, с. Арак","41,963153","47,990718",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
29,МКОУ АРШИНСКАЯ СОШ,"МОУ ""Аршинская СОШ""",Левашинский район,Село,Арши,"Республика Дагестан, Левашинский район с. Арши","42,400476","47,124916",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
30,МКОУ АСАЛИКЕНТСКАЯ ООШ,"МОУ ""Асаликентская ООШ""",Сулейман-Стальский район,Село,Асаликент,"Республика Дагестан, Сулейман-стальский район, с. Асаликент","41,629686","48,166148",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
31,МКОУ АСОШ,,,,,,,,,,,,,,
32,МКОУ АССАБСКАЯ СОШ,"МОУ ""Ассабская СОШ""",Шамильский район,Село,Ассаб,"Республика Дагестан, Шамильский район, с. Ассаб","42,470641","46,493001",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
33,МКОУ АХАРСКАЯ СОШ,МОУ Ахарская СОШ,Новолакский район,Село,Ахар,"Республика Дагестан, Новолакский район, с. Ахар","43,162980","47,463288",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
34,МКОУ АЧИСИНСКАЯ СОШ №2,МОУ Ачисинская СОШ,Карабудахкентский район,Село,Ачису,"Республика Дагестан, Карабудахкентский район, с. Ачису","42,650999","47,680842",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
35,МКОУ АШАГАКАРТАССКАЯ ООШ,"МОУ ""Ашагакартасская ООШ""",Сулейман-Стальский район,Село,Ашагакартас,"Республика Дагестан, Сулейман-стальский район, с. Ашагакартас","41,631562","48,119513",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
36,МКОУ АШАГАСТАЛЬСКАЯ СОШ,"МОУ ""Ашагастальская СОШ""",Сулейман-Стальский район,Село,Ашагасталь,"Республика Дагестан, Сулейман-стальский район, с. Ашагасталь","41,753333","48,117003",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
37,МКОУ АШАГА-ЯРАКСКАЯ СОШ,"МБОУ""АШАГА ЯРАКСКАЯ СОШ""",Хивский район,Село,Ашага-Ярак,"Республика Дагестан, Хивский район, с. Ашага-Ярак","41,823414","47,951795",Спутник,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
38,МКОУ АШАЛИНСКАЯ ООШ,МОУ Ашалинская ООШ,Ботлихский район,Село,Ашали,"Республика Дагестан, Ботлихский район с. Ашали","42,768322","46,307485",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
39,МКОУ АШАРСКАЯ СОШ,"МОУ ""Ашарская СОШ""",Курахский район,Село,Ашар,"Республика Дагестан, Курахский район, с. Ашар","41,616892","47,666117",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
40,МКОУ АЯЛАКАБСКАЯ СОШ,"МОУ ""Аялакабская СОШ""",Левашинский район,Село,Аялакаб,"Республика Дагестан, Левашинский район с. Аялакаб","42,424357","47,464507",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
41,МКОУ АЯЛИЗИМАХИНСКАЯ СОШ,"МОУ ""Аялизимахинская СОШ им.Абдуллаева Б.Ю.""",Сергокалинский район,Село,Аялизимахи,"Республика Дагестан, Сергокалинский район, с. Аялизимахи","42,377389","47,609216",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
42,МКОУ Бабаюр-ая СОШ №1 им. Арзулумова,,,,,,,,,,,,,,
43,МКОУ БАЙРАМАУЛЬСКАЯ СОШ,МОУ Байрамаульская СОШ,Хасавюртовский район,Село,Байрамаул,"Республика Дагестан, Хасавюртовский район, с. Байрамаул","43,296341","46,727633",Медь,12.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
44,МКОУ БАЛТАМАХИНСКАЯ СОШ,"МОУ ""Балтамахинская СОШ""",Сергокалинский район,Село,Балтамахи,"Республика Дагестан, Сергокалинский район, с. Балтамахи","42,297521","47,726712",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
45,МКОУ БАНАЙЮРТОВСКАЯ СОШ,МОУ Банайюртовская СОШ,Новолакский район,Село,Банайюрт,"Республика Дагестан, Новолакский район, с. Банайюрт","43,148828","46,449701",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
46,МКОУ БАРНАБСКАЯ ООШ,МОУ Барнабская ООШ,Тляратинский район,Село,Барнаб,"Республика Дагестан, Тляратинский район, с. Барнаб","42,079944","46,377111",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
47,МКОУ БАТЫР-МУРЗАЕВСКАЯ СОШ,МОУ Батыр-Мурзаевская СОШ.,Ногайский район,Село,Батыр-Мурза,"Республика Дагестан, Ногайский район, с. Батыр-Мурза","44,176150","45,696115",Спутник,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
48,МКОУ Большезадоевская СОШ,"МОУ ""Большезадоевская СОШ""",Кизлярский район,Село,Большая Задоевка,"Республика Дагестан, Кизлярский район, с. Большая Задоевка","43,866540","46,828781",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
49,МКОУ Бондареновская ООШ,"МОУ ""Бондареновская ООШ""",Кизлярский район,Село,Бондареновка,"Республика Дагестан, Кизлярский район, с. Бондареновка","43,915333","46,647704",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
50,МКОУ БОРАНЧИНСКАЯ СОШ,МОУ Боранчинская СОШ им.К.Б.Оразбаева.,Ногайский район,Село,Боранчи,"Республика Дагестан, Ногайский район, с. Боранчи","44,216921","45,532592",Спутник,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
51,МКОУ Боташюртовская СОШ им Ахаева,МОУ Боташюртовская СОШ,Хасавюртовский район,Село,Боташюрт,"Республика Дагестан, Хасавюртовский район, с. Боташюрт","43,310281","46,508061",Медь,12.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
52,МКОУ БОТАЮРТОВСКАЯ СОШ,МОУ Ботаюртовская СОШ,Хасавюртовский район,Село,Ботаюрт,"Республика Дагестан, Хасавюртовский район, с. Ботаюрт","43,314721","46,681196",Медь,12.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
53,МКОУ Брянская СОШ,"МОУ ""Брянская СОШ""",Кизлярский район,Село,Брянск,"Республика Дагестан, Кизлярский район, с. Брянск","44,330083","46,983840",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
54,МКОУ БСОШ,,,,,,,,,,,,,,
55,МКОУ БУРГАНКЕНТСКАЯ СОШ,,,,,,,,,,,,,,
56,МКОУ БУРДЕКИНСКАЯ СОШ,"МОУ ""Бурдекинская СОШ""",Сергокалинский район,Село,Бурдеки,"Республика Дагестан, Сергокалинский район, с. Бурдеки","42,305091","47,669722",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
57,МКОУ БУРХИМАХИНСКАЯ СОШ,"МОУ ""Бурхимахинская СОШ""",Сергокалинский район,Село,Бурхимахи,"Республика Дагестан, Сергокалинский район, с. Бурхимахи","42,306321","47,585773",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
58,МКОУ БУХТЫНСКАЯ СОШ,,,,,,,,,,,,,,
59,МКОУ ВАНАШИМАХИНСКАЯ СОШ,"МОУ ""Ванашимахинская СОШ им.С.Омарова""",Сергокалинский район,Село,Ванашимахи,"Республика Дагестан, Сергокалинский район, с. Ванашимахи","42,403461","47,607677",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
60,МКОУ ВАРСИТСКАЯ СОШ,,,,,,,,,,,,,,
61,МКОУ В-ДЖЕНГУТАЕВСКАЯ СОШ,,,,,,,,,,,,,,
62,МКОУ Верхнебатлухская СОШ,"МОУ ""Верхнебатлухская СОШ""",Шамильский район,Село,В.Батлух,"Республика Дагестан, Шамильский район, с. В.Батлух","42,496289","46,502297",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
63,МКОУ Верхнеказанищенская СОШ 2,,,,,,,,,,,,,,
64,МКОУ Верхнеколобская СОШ,"МОУ ""Верхнеколобская СОШ""",Шамильский район,Село,В.Колоб,"Республика Дагестан, Шамильский район, с. В.Колоб","42,426923","46,658840",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
65,МКОУ ВЕРХНЕ-ЛАБКОМАХИНСКАЯ СОШ,,,,,,,,,,,,,,
66,МКОУ ВЕРХНЕ-УБЕКИНСКАЯ ООШ,"МОУ ""Верхне-Убекинская ООШ""",Левашинский район,Село,Верхнее-Убеки,"Республика Дагестан, Левашинский район с. Верхнее-Убеки","42,366667","47,243333",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
67,МКОУ ВИХЛИНСКАЯ СОШ,"МОУ""Вихлинская СОШ""",Кулинский район,Село,Вихли,"Республика Дагестан, Кулинский район с. Вихли","42,126903","47,219393",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
68,МКОУ Вышеталовская СОШ,"МОУ ""Вышеталовская СОШ""",Кизлярский район,Село,Таловка,"Республика Дагестан, Кизлярский район, с. Выше-Таловка","44,038872","46,730695",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
69,МКОУ ГАГАТЛИНСКАЯ СОШ.,МОУ Гагатлинская СОШ,Ботлихский район,Село,Гагатли,"Республика Дагестан, Ботлихский район с. Гагатли","42,800280","46,291480",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
70,МКОУ ГАДАРИНСКАЯ СОШ,МОУ Гадаринская СОШ,Кизилюртовский район,Село,Гадари,"Республика Дагестан, Кизилюртовский район, с. Гадари","43,193130","46,770292",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
71,МКОУ ГАЗИЯНСКАЯ ООШ,,,,,,,,,,,,,,
72,МКОУ ГАМИЯХСКАЯ СОШ №1,МОУ Гамияхская СОШ №1,Новолакский район,Село,Гамиях,"Республика Дагестан, Новолакский район, с. Гамиях","43,209167","46,486944",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
73,МКОУ ГАСИКСКАЯ СОШ,МОУ Гасикская СОШ,Табасаранский район,Село,Гасик,"Республика Дагестан, Табасаранский район, с. Гасик","41,923168","47,884986",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
74,МКОУ ГВЕДЫШИНСКАЯ СОШ,МОУ Гведышинская СОШ,Тляратинский район,Село,Гведыш,"Республика Дагестан, Тляратинский район, с. Гведыш","42,137229","46,411981",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
75,МКОУ ГЕЛИНБАТАНСКАЯ СОШ,МОУ Гелинбатанская СОШ,Табасаранский район,Село,Гелинбатан,"Республика Дагестан, Табасаранский район, с. Гелинбатан","41,947222","48,167306",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
76,МКОУ ГЕЛЬБАХСКАЯ СОШ,МОУ Гельбахская СОШ,Кизилюртовский район,Село,Гельбах,"Республика Дагестан, Кизилюртовский район, с. Гельбах","43,150886","46,856878",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
77,МКОУ ГЕЛЬХЕНСКАЯ СОШ,"МОУ ""Гельхенская СОШ""",Курахский район,Село,Гельхен,"Республика Дагестан, Курахский район, с. Гельхен","41,658485","47,602904",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
78,МКОУ ГЕНЕКОЛОБСКАЯ СОШ,МОУ Генеколобская СОШ,Тляратинский район,Село,Генеколоб,"Республика Дагестан, Тляратинский район, с. Генеколоб","41,917102","46,600743",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
79,МКОУ ГЕНЖЕАУЛЬСКАЯ СОШ,МОУ Генжеаульская СОШ,Хасавюртовский район,Село,Генжеаул,"Республика Дагестан, Хасавюртовский район, с. Генжеаул","43,292365","46,756317",Медь,12.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
80,МКОУ Гентинская СОШ,"МОУ ""Гентинская СОШ""",Шамильский район,Село,Гента,"Республика Дагестан, Шамильский район, с. Гента","42,371747","46,560492",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
81,МКОУ Гергебельская СОШ 1,,,,,,,,,,,,,,
82,МКОУ Гергебельская СОШ 2,,,,,,,,,,,,,,
83,МКОУ ГЕРЕЙХАНОВСКАЯ СОШ №1,"МОУ ""Герейхановская СОШ №1""",Сулейман-Стальский район,Село,с.з им. Гейреханова,"Республика Дагестан, Сулейман-стальский район, с. с. З им. Гейреханова","41,704167","48,169722",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
84,МКОУ ГЕРЕЙХАНОВСКАЯ СОШ №2,,,,,,,,,,,,,,
85,МКОУ Гертминская СОШ им. Абулмуслимова,МОУ Гертминская СОШ,Казбековский район,Село,Гертма,"Республика Дагестан, Казбековский район, с. Гертма","42,991666","46,744481",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
86,МКОУ Гимназия 5 г.Кизилюрт,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
87,МКОУ ГИМНАЗИЯ № 1,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
88,МКОУ ГИМНАЗИЯ № 2 ИМ. А.М.САЙТИЕВА,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
89,МКОУ Гимназия №1 г. Хасавюрт,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
90,МКОУ Гимназия г.Буйнакска,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
91,МКОУ ГИМНАЗИЯ ИМ. М.ГОРЬКОГО,"МБОУ ""Гимназия""",Карабудахкентский район,Село,Карабудахкент,"Республика Дагестан, Карабудахкентский район, с. Карабудахкент, ул. Гвардейская, 6","42,712100","47,564700",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
