,Район,Тип н п,Наименование нас пункта,Наименование,Адрес,ИНН,Контакты,Широта,Долгота,Тип учреждения,Тип подключения (сущ),Скорость подключения (сущ),Тип подключения (план),Скорость подключения (план)
108,Каякентский район,Село,Дружба,МКОУ ДРУЖБИНСКАЯ СОШ ,"Республика Дагестан, Каякентский район, с. Дружба, ул. Горького, 19",,,"42,2409","47,0035",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
109,Агульский район,Село,Дулдуг,МКОУ ДУЛДУГСКАЯ СОШ ,"Республика Дагестан, Агульский район, с. Дулдуг",,,"41,76749","47,674315",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
110,Буйнакский район,Село,Дуранги,МКОУ Дурангинская СОШ ,"Республика Дагестан, Буйнакский район, с. Дуранги, ул. Сахаватова, 39",507019680.0,,"42,63378","47,22374",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
111,Чародинский район,Село,Дусрах,МКОУ Дусрахская СОШЧарод-ий р-он ,"Республика Дагестан, Чародинский район, с. Дусрах",539002590.0,,"42,127583","46,878202",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
112,Новолакский район,Село,Дучи,МКОУ ДУЧИНСКАЯ СОШ №2 ,"Республика Дагестан, Новолакский район, с. Дучи, ул. Маркинская, 2",524005341.0,,"43,130597","47,459084",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
113,Дербентский район,Село,Дюзляр,МКОУ ДЮЗЛЯРСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Дюзляр",512011622.0,,"41,938014","48,269876",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
114,Табасаранский район,Село,Ерси,МКОУ ЕРСИНСКАЯ СОШ ,"Республика Дагестан, Табасаранский район, с. Ерси, ул.Девятый Магал, 1",530005484.0,,"42,12151","48,113344",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
115,Кизлярский район,Село,Ефимовка,МКОУ Ефимовская ООШ ,"Республика Дагестан, Кизлярский район, с. Ефимовка,  ул. 40 лет ВЛКСМ б/н",,,"43,843206","46,796733",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
116,Хивский район,Село,Захит,МКОУ ЗАХИТСКАЯ СОШ ,"Республика Дагестан, Хивский район, с. Захит, ул. Лезгинцева, 1",535003900.0,,"41,435125","48,221351",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
117,Дербентский район,Село,Зидьян,МКОУ ЗИДЬЯНСКАЯ СОШ ,"Республика Дагестан, Дербентский район, с. Зидьян",512027252.0,,"42,07804","48,156156",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
118,Дахадаевский район,Село,Зильбачи,МКОУ ЗИЛЬБАЧИНСКАЯ СОШ ,"Республика Дагестан, Дахадаевский район, с. Зильбачи",511003202.0,,"42,139292","47,718794",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
119,Хивский район,Село,Зильдик,МКОУ ЗИЛЬДИКСКАЯ ООШ ,"Республика Дагестан, Хивский район, с. Зильдик",535003787.0,,"41,812848","47,990223",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
120,Ахтынский район,Село,Зрых,МКОУ ЗРЫХСКАЯ СОШ ,"Республика Дагестан, Ахтынский район, с. Зрых, ул. Школьная 1а",504016585.0,,"41,49575","47,55589",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
121,Дахадаевский район,Село,Ицари,МКОУ ИВАН-КУТАНСКАЯ ООШ ,"Республика Дагестан, Дахадаевский район, с. Ицари",511004213.0,,"42,086111","47,5575",Общеобразовательная организация,Спутник,1.0,ВОЛС,50.0
122,Гумбетовский район,Село,Игали,МКОУ ИГАЛИНСКАЯ СОШ ,"Республика Дагестан, Гумбетовский район, с. Игали, ул. Школьная, 10",509006478.0,,"42,4302","46,3454",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
123,Курахский район,Село,Икра,МКОУ ИКРИНСКАЯ СОШ ,"Республика Дагестан, Курахский район с. Икра",519001944.0,,"41,564836","48,008084",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
124,Дахадаевский район,Село,Ираки,МКОУ ИРАКИНСКАЯ ООШ ,"Республика Дагестан, Дахадаевский район, с. Ираки",,,"42,162474","47,71725",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
125,Унцукульский район,Село,Ирганай,МКОУ Ирганайская СОШ ,"Республика Дагестан, Унцукульский район, с. Ирганай",,,"42,639639","46,934361",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
126,Чародинский район,Село,Ириб,МКОУ ИРИБСКАЯ СОШ ,"Республика Дагестан, Чародинский район, с. Ириб, ул. Школьная, 34",539002463.0,,"42,093107","46,485842",Общеобразовательная организация,Медь,15.0,ВОЛС,50.0
127,Сулейман-Стальский район,Село,Ичин,МКОУ ИЧИНСКАЯ ООШ ,"Республика Дагестан, Сулейман-стальский район, с. Ичин",529010426.0,,"41,682686","47,991389",Общеобразовательная организация,Медь,4.0,ВОЛС,50.0
128,Хасавюртовский район,Село,Цияб Ичичали,МКОУ ИЧИЧАЛИНСКАЯ СОШ ,"Республика Дагестан, Хасавюртовский район, с. Цияб Ичичали, ул. Школьная, 35А",534030040.0,,"43,383695","46,616739",Общеобразовательная организация,Медь,12.0,ВОЛС,50.0
