Муниципальное образование;Тип населённого пункта;Наименование населенного пункта;Адрес учреждения;Широта;Долгота;Полное наименование учреждения;Тип подключения (сущ.);Скорость подключения (сущ.), Мбит/с;Провайдер (сущ.);Тип подключения (план);Скорость подключения (план), Мбит/с
Кизлярский район;Село;Н.Бирюзяк;Республика Дагестан, Кизлярский район, с. Н.-Бирюзяк;43,770802;47,309402;"МОУ ""Новобирюзякская СОШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Буцра;Республика Дагестан, Хунзахский район, с. Н.- Буцра;42,589885;46,768976;"МОУ ""Новобуцринская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Нововладимировка;Республика Дагестан, Кизлярский район, Черняевская с/а, с. Нововладимировка;43,913419;46,950694;"МОУ ""Нововладимировская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Новокрестьяновка;Республика Дагестан, Кизлярский район, с. Новокрестьяновка;43,883166;46,569093;"МОУ ""Новокрестьяновская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Новомонастырское;Республика Дагестан, Кизлярский район, с. Новомонастырское;43,865856;46,607824;"МОУ ""Новомонастырская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сергокалинский район;Село;Новомугри;Республика Дагестан, Сергокалинский район, с. Новомугри;42,474302;47,754936;"МОУ ""Новомугринская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Новая Серебряковка;Республика Дагестан, Кизлярский район, с. Новая Серебряковка;43,991103;46,978289;"МОУ ""Новосеребряковская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Нютюг;Республика Дагестан, Сулейман-стальский район, с. Нютюг;41,613056;48,191667;"МОУ ""Нютюгская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Обода;Республика Дагестан, Хунзахский район, с. Обода;42,578352;46,668497;"МОУ ""Ободинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Огузер;Республика Дагестан, Кизлярский район, с. Огузер;44,049468;47,060844;"МОУ ""Огузерская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Оркачи;Республика Дагестан, Хунзахский район, с. Оркачи;42,605807;46,817614;"МОУ ""Оркачинская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Орота;Республика Дагестан, Хунзахский район, с. Орота;42,659414;46,537629;"МОУ ""Оротинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Очло;Республика Дагестан, Хунзахский район, с. Очло;42,642419;46,645358;"МОУ ""Очлинская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Первомайское;Республика Дагестан, Кизлярский район, с. Первомайское;43,918153;46,709236;"МОУ ""Первомайская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кулинский район;Село;1-я Цовкра;Республика Дагестан, Кулинский район, с. 1-я Цовкра;42,059686;47,269093;"МОУ ""Первоцовкринская СОШ""";Медь;1;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Южное;Республика Дагестан, Кизлярский район, с. Южное;43,816136;46,724534;"МОУ ""Победовская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Птикент;Республика Дагестан, Сулейман-стальский район, с. Птикент;41,583611;48,108889;"МОУ ""Птикентская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Ратлуб;Республика Дагестан, Шамильский район, с. Ратлуб;42,358012;46,434517;"МОУ ""Ратлубская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Ругельда;Республика Дагестан, Шамильский район, с. Ругельда;42,315906;46,524502;"МОУ ""Ругельдинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Сайтаркент;Республика Дагестан, Сулейман-стальский район, с. Сайтаркент;41,586389;48,126944;"МОУ ""Сайтаркентская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Сангиши;Республика Дагестан, Кизлярский район, с. Сангиши;43,898957;47,032101;"МОУ ""Сангишинская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Сар-Сар;Республика Дагестан, Кизлярский район, с. Сар-Сар;43,969443;47,077511;"МОУ ""Сар-Сарская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Сардаркент;Республика Дагестан, Сулейман-стальский район, с. Сардаркент;41,725556;48,061389;"МОУ ""Сардаркентская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цумадинский район;Село;Саситли;Республика Дагестан, Цумадинский район, с. Саситли;42,495410;45,997048;"МОУ ""Саситлинская ООШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Акуша-Семга;Республика Дагестан, Акушинский район, с. Акуша-Семга;42,276150;47,339757;"МОУ ""Семгамахинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Сийидикент;Республика Дагестан, Сулейман-стальский район, с. Сийидкент;41,700000;48,118056;"МОУ ""Сийидкентская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Сиух;Республика Дагестан, Хунзахский район, с. Сиух;42,599828;46,547266;"МОУ ""Сиухская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Поселок;Юбилейный;Республика Дагестан, Кизлярский район, п. Юбилейный;43,874818;46,730352;"МОУ ""Совхозная СОШ №6""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Школьное;Республика Дагестан, Кизлярский район, с. Школьное;43,914669;46,765409;"МОУ ""Совхозная СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Буйнакск;Город;Буйнакск;Республика Дагестан, г. Буйнакск, ул. Хизроева, 57;42,817913;47,113567;"МОУ ""Специальная (коррекционная) общеобразовательная школа""";Медь;12;"ПАО ""Ростелеком""";ВОЛС;100
Кизлярский район;Поселок;Степной;Республика Дагестан, Кизлярский район, п. Степной;43,894619;46,491071;"МОУ ""Степновская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Левашинский район;Село;Сулейбакент;Республика Дагестан, Левашинский район с. Сулейбакент;42,358659;47,376155;"МОУ ""Сулейбакентская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Тагада;Республика Дагестан, Хунзахский район, с. Тагада;42,497843;46,868386;"МОУ ""Тагадинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Тануси;Республика Дагестан, Хунзахский район, с. Тануси;42,581389;46,694352;"МОУ ""Танусинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Тидиб;Республика Дагестан, Шамильский район, с. Тидиб;42,388444;46,572397;"МОУ ""Тидибская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Левашинский район;Село;Тилагу;Республика Дагестан, Левашинский район с. Тилагу;42,424219;47,100267;"МОУ ""Тилагинская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цумадинский район;Село;Тинди;Республика Дагестан, Цумадинский район, с. Тинди;42,455113;46,134342;"МОУ ""Тиндинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цумадинский район;Село;Тисси-Ахитли;Республика Дагестан, Цумадинский район, с. Тисси-Ахитли;42,500794;46,104167;"МОУ ""Тисси-ахитлинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цумадинский район;Село;Тисси;Республика Дагестан, Цумадинский район, с. Тисси;42,491246;46,143978;"МОУ ""Тиссинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Тлайлух;Республика Дагестан, Хунзахский район, с. Тлайлух;42,621216;46,523994;"МОУ ""Тлайлухская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Ахвахский район;Село;Тлибишо;Республика Дагестан, Ахвахский район, с. Тлибишо;42,561632;46,304751;"МОУ ""Тлибищинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цумадинский район;Село;Тлондода;Республика Дагестан, Цумадинский район, с. Тлондода;42,525360;46,197498;"МОУ ""Тлондодинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Тлянуб;Республика Дагестан, Шамильский район, с. Тлянуб;42,435731;46,457159;"МОУ ""Тлянубская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Тлях;Республика Дагестан, Шамильский район, с. Тлях;42,389828;46,539435;"МОУ ""Тляхская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Тогох;Республика Дагестан, Шамильский район, с. Тогох;42,502053;46,574547;"МОУ ""Тогохская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Ахвахский район;Село;Тукита;Республика Дагестан, Ахвахский район, с. Тукита;42,573138;46,370655;"МОУ ""Тукитинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Тушиловка;Республика Дагестан, Кизлярский район, с. Тушиловка;44,309418;46,881245;"МОУ ""Тушиловская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Бабаюртовский район;Село;Тюпкутан;Республика Дагестан, Бабаюртовский район, с. Тюпкутан.;43,583848;46,823366;"МОУ ""Тюпкутанская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Уздалросо;Республика Дагестан, Хунзахский район, с. Уздалросо;42,486925;46,857158;"МОУ ""Уздалросинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Уллугатаг;Республика Дагестан, Сулейман-стальский район, с. Уллугатаг;41,605000;48,126389;"МОУ ""Уллугатагская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Уллучара;Республика Дагестан, Акушинский район,с.Уллучара;42,202395;47,274434;"МОУ ""Уллучаринская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Урада;Республика Дагестан, Шамильский район, с. Урада;42,384673;46,557880;"МОУ ""Урадинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сергокалинский район;Село;Урахи;Республика Дагестан, Сергокалинский район, с. Урахи;42,335499;47,596236;"МОУ ""Урахинская СОШ им А.О.Тахо-Годи""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Ургани;Республика Дагестан, Акушинский район, с. Ургани;42,136180;47,361940;"МОУ ""Урганинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Ургуба;Республика Дагестан, Акушинский район, с. Ургуба;42,288957;47,319446;"МОУ ""Ургубамахинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Уриб;Республика Дагестан, Шамильский район, с. Уриб;42,456687;46,673671;"МОУ ""Урибская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Усиша;Республика Дагестан, Акушинский район, с. Усиша;42,250278;47,391111;"МОУ ""Усишинская СОШ№3""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Усуг;Республика Дагестан, Курахский район, с. Усуг;41,672140;47,594231;"МОУ ""Усугская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Харахи;Республика Дагестан, Хунзахский район, с. Харахи;42,646297;46,522943;"МОУ ""Харахинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Хариколо;Республика Дагестан, Хунзахский район, с. Хариколо;42,544997;46,808598;"МОУ ""Хариколинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Гергебильский район;Село;Хартикуни;Республика Дагестан, Гергебильский район, с. Хартикуни;42,458077;47,005585;"МОУ ""Хартикунинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Хасавюрт;Город;Хасавюрт;Республика Дагестан, г. Хасавюрт, ул. Тотурбиева, 65;43,250218;46,581851;"МОУ ""Хасавюртовский многопрофильный лицей""";Медь;20;"ПАО ""Ростелеком""";ВОЛС;100
Бабаюртовский район;Село;Хасанай;Республика Дагестан, Бабаюртовский район, с. Хасанай.;43,628364;46,708505;"МОУ ""Хасанайская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Хвередж;Республика Дагестан, Курахский район, с. Хвередж;41,699597;47,571570;"МОУ ""Хвереджская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Хиндах;Республика Дагестан, Хунзахский район, с. Хиндах;42,661014;46,572626;"МОУ ""Хиндахская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цумадинский район;Село;Хонох;Республика Дагестан, Цумадинский район, с. Хонох;42,330000;46,128333;"МОУ ""Хонохская ООШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Хотода;Республика Дагестан, Шамильский район, с. Хотода;42,393805;46,558901;"МОУ ""Хотодинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Хпедж;Республика Дагестан, Курахский район, с. Хпедж;41,622417;47,727697;"МОУ ""Хпеджская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Хпюк;Республика Дагестан, Курахский район, с. Хпюк;41,672716;47,672118;"МОУ ""Хпюкская СОШ """;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Хуцеевка;Республика Дагестан, Кизлярский район, с. Хуцеевка;43,930074;46,780974;"МОУ ""Хуцеевская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Шамильский район;Село;Хучада;Республика Дагестан, Шамильский район, с. Хучада;42,400195;46,469267;"МОУ ""Хучадинская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цумадинский район;Село;Хушет;Республика Дагестан, Цумадинский район, с. Хушет;42,397425;45,772282;"МОУ ""Хушетская СОШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Хюрехюр;Республика Дагестан, Курахский район, с. Хюрехюр;41,559981;47,741262;"МОУ ""Хюрехюрская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Цветковка;Республика Дагестан, Кизлярский район, с. Цветковка;43,938540;46,833570;"МОУ ""Цветковская гимназия""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Магарамкентский район;Село;Целегюн;Республика Дагестан, Магарамкентский район, с. Целегюн;41,658224;48,291467;"МОУ ""Целегюнская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Цугни;Республика Дагестан, Акушинский район, с. Цугни;42,107783;47,403471;"МОУ ""Цугнинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Цуликана;Республика Дагестан, Акушинский район,с.Цуликана;42,258280;47,257263;"МОУ ""Цуликанинская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Цунимахи;Республика Дагестан, Акушинский район,с.Цунимахи;42,299050;47,261146;"МОУ ""Цунимахинская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Левашинский район;Село;Цухтамахи;Республика Дагестан, Левашинский район с. Цухтамахи;42,343056;47,331944;"МОУ ""Цухтамахинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Черняевка;Республика Дагестан, Кизлярский район, с. Черняевка;43,942912;47,030359;"МОУ ""Черняевская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Левашинский район;Село;Чуни;Республика Дагестан, Левашинский район с. Чуни;42,348800;47,302082;"МОУ ""Чунинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Чухверкент;Республика Дагестан, Сулейман-стальский район, с. Чухверкент;41,771667;48,371111;"МОУ ""Чухверкентская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Шимихюр;Республика Дагестан, Курахский район, с. Шимихюр;41,655104;47,699559;"МОУ ""Шимихюрская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Дубри;Республика Дагестан, Акушинский район, с. Дубри;42,261490;47,300282;"МОУ ""Шинкбалакадинская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Шихикент;Республика Дагестан, Сулейман-стальский район, с. Шихикент;41,603889;48,165000;"МОУ ""Шихикентская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хунзахский район;Село;Шотота;Республика Дагестан, Хунзахский район, с. Шотота;42,584999;46,578845;"МОУ ""Шототинская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Шукты;Республика Дагестан, Акушинский район, с. Шукты;42,224355;47,304240;"МОУ ""Шуктынская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Левашинский район;Село;Эбдалая;Республика Дагестан, Левашинский район с. Эбдалая;42,368700;47,342281;"МОУ ""Эбдалаинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Эминхюр;Республика Дагестан, Сулейман-стальский район, с. Эминхюр;41,762778;48,330556;"МОУ ""Эминхюрская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Цумадинский район;Село;Эчеда;Республика Дагестан, Цумадинский район, с. Эчеда;42,434361;45,992281;"МОУ ""Эчединская СОШ""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;с.Юхарикартасс;Республика Дагестан, Сулейман-стальский район, с. Юхарикартасс;41,623611;48,101111;"МОУ ""Юхарикартасская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Юхаристаль;Республика Дагестан, Сулейман-стальский район, с. Юхаристаль;41,707250;48,156222;"МОУ ""Юхаристальская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Магарамкентский район;Село;Яруквалар;Республика Дагестан, Магарамкентский район, с. Яруквалар;41,799616;48,412652;"МОУ ""Ярукваларская ООШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизлярский район;Село;Ясная Поляна;Республика Дагестан, Кизлярский район, с. Ясная Поляна;43,951797;46,770283;"МОУ ""Яснополянская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Амсар;Республика Дагестан, Рутульский район, с. Амсар;41,603566;47,329596;МОУ «Амсарская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Аракуль;Республика Дагестан, Рутульский район, с. Аракуль;41,773866;47,211640;МОУ «Аракульская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Аран;Республика Дагестан, Рутульский район, с. Аран;41,672373;47,249287;МОУ «Аранская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Верхний Катрух;Республика Дагестан, Рутульский район, с. Верхний Катрух,;41,746895;47,223646;МОУ «Верхне-Катрухская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Гельмец;Республика Дагестан, Рутульский район, с. Гельмец;41,625203;47,178361;МОУ «Гельмецкая СОШ»;Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Дженых;Республика Дагестан, Рутульский район, с. Дженых;41,672084;47,044313;МОУ «Дженыхская СОШ»;Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Джилихур;Республика Дагестан, Рутульский район, с. Джилихур;41,657976;47,265867;МОУ «Джилихурская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Ихрек;Республика Дагестан, Рутульский район, с. Ихрек;41,693860;47,210714;МОУ «Ихрекская ООШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Ихрек;Республика Дагестан, Рутульский район, с. Ихрек;41,693860;47,210714;МОУ «Ихрекская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Кала;Республика Дагестан, Рутульский район, с. Кала;41,577820;47,351418;МОУ «Калинская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Кина;Республика Дагестан, Рутульский район, с. Кина;41,617669;47,263743;МОУ «Кининская СОШ»;Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Курдул;Республика Дагестан, Рутульский район, с. Курдул;41,581515;47,177421;МОУ «Курдульская ООШ»;Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Куфа;Республика Дагестан, Рутульский район, с. Куфа;41,564229;47,376932;МОУ «Куфинская СОШ»;Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Лучек;Республика Дагестан, Рутульский район, с. Лучек;41,609822;47,307241;МОУ «Лучекская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Микик;Республика Дагестан, Рутульский район, с. Микик;41,637249;47,168044;МОУ «Микикская СОШ»;Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Мишлеш;Республика Дагестан, Рутульский район, с. Мишлеш;41,664868;47,089943;МОУ «Мишлешская СОШ»;Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Муслах;Республика Дагестан, Рутульский район, с. Муслах;41,658413;47,111948;МОУ «Муслахская СОШ»;Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Нижний Катрух;Республика Дагестан, Рутульский район, с. Нижний Катрух;41,743138;47,203387;МОУ «Нижне-Катрухская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Цахур;Республика Дагестан, Рутульский район, с. Цахур;41,651321;47,135936;МОУ «Цахурская СОШ»;Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Цудик;Республика Дагестан, Рутульский район, с. Цудик;41,660587;47,272513;МОУ «Цудикская СОШ»;Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Рутульский район;Село;Шиназ;Республика Дагестан, Рутульский район, с. Шиназ;41,619201;47,376046;МОУ «Шиназская СОШ»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Тарумовский район;Село;Александро-Невская;Республика Дагестан, Тарумовский район, с. Александро-Невская;43,921026;46,556505;МОУ А-Невская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Гунибский район;Село;Куяда;Республика Дагестан, Гунибский район, с. Куяда;42,418941;46,814247;МОУ Агадинская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Аджимажагатюрт;Республика Дагестан, Хасавюртовский район, с. Аджимажагатюрт;43,349412;46,506883;МОУ Аджимажагатюртовская СОШ;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Акбулатюрт;Республика Дагестан, Хасавюртовский район, с. Акбулатюрт;43,460143;46,387821;МОУ Акбулатюртовская СОШ;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Кизилюртовский район;Село;Акнада;Республика Дагестан, Кизилюртовский район, с. Акнада;43,378836;46,909413;МОУ Акнадинская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Ботлихский район;Село;Анди;Республика Дагестан, Ботлихский район с. Анди;42,786822;46,257312;МОУ Андийская СОШ №1;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Ботлихский район;Село;Анди;Республика Дагестан, Ботлихский район с. Анди;42,784722;46,262500;МОУ Андийская СОШ №2;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Ботлихский район;Село;Ансалта;Республика Дагестан, Ботлихский район с. Ансалта;42,690536;46,115731;МОУ Ансалтинская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Гумбетовский район;Село;Арадерих;Республика Дагестан, Гумбетовский район, с. Арадерих;42,680817;46,580433;МОУ Арадерихская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Унцукульский район;Село;Аракани;Республика Дагестан, Унцукульский район, с. Аракани;42,610200;46,991916;МОУ Араканская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Табасаранский район;Село;Арак;Республика Дагестан, Табасаранский район, с. Арак;41,963153;47,990718;МОУ Аракская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Казбековский район;Село;Артлух;Республика Дагестан, Казбековский район, с. Артлух;42,862040;46,668773;МОУ Артлухская ООШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Новолакский район;Село;Ахар;Республика Дагестан, Новолакский район, с. Ахар;43,162980;47,463288;МОУ Ахарская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Карабудахкентский район;Село;Ачису;Республика Дагестан, Карабудахкентский район, с. Ачису;42,650999;47,680842;МОУ Ачисинская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Ботлихский район;Село;Ашали;Республика Дагестан, Ботлихский район с. Ашали;42,768322;46,307485;МОУ Ашалинская ООШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хасавюртовский район;Село;Байрамаул;Республика Дагестан, Хасавюртовский район, с. Байрамаул;43,296341;46,727633;МОУ Байрамаульская СОШ;Медь;12;"ПАО ""Ростелеком""";ВОЛС;50
Новолакский район;Село;Банайюрт;Республика Дагестан, Новолакский район, с. Банайюрт;43,148828;46,449701;МОУ Банайюртовская СОШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Тляратинский район;Село;Барнаб;Республика Дагестан, Тляратинский район, с. Барнаб;42,079944;46,377111;МОУ Барнабская ООШ;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Ногайский район;Село;Батыр-Мурза;Республика Дагестан, Ногайский район, с. Батыр-Мурза;44,176150;45,696115;МОУ Батыр-Мурзаевская СОШ.;Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Тляратинский район;Село;Бетельда;Республика Дагестан, Тляратинский район, с. Бетельда, ул. Омара Магомедова, 1;42,079398;46,453659;МОУ Бетельдинская СОШ;Медь;4,000;"ПАО ""Ростелеком""";ВОЛС;50
Ногайский район;Село;Боранчи;Республика Дагестан, Ногайский район, с. Боранчи;44,216921;45,532592;МОУ Боранчинская СОШ им.К.Б.Оразбаева.;Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
